Past,EVT,ACRES
Past  Conifer,Agricultural,114476
Past  Conifer,Conifer,13870047
Past  Conifer,Conifer-Hardwood,31922
Past  Conifer,Developed,246200
Past  Conifer,Exotics,123646
Past  Conifer,Grassland,822190
Past  Conifer,Hardwood,491771
Past  Conifer,Riparian,167857
Past  Conifer,Shrubland,1293213
Past  Grassland,Agricultural,31026
Past  Grassland,Conifer,362747
Past  Grassland,Conifer-Hardwood,33
Past  Grassland,Developed,37518
Past  Grassland,Exotics,73748
Past  Grassland,Grassland,1280548
Past  Grassland,Hardwood,19870
Past  Grassland,Riparian,42077
Past  Grassland,Shrubland,502199
Past  Hardwood,Agricultural,21159
Past  Hardwood,Conifer,453104
Past  Hardwood,Conifer-Hardwood,35312
Past  Hardwood,Developed,21075
Past  Hardwood,Exotics,35503
Past  Hardwood,Grassland,112957
Past  Hardwood,Hardwood,880032
Past  Hardwood,Riparian,45493
Past  Hardwood,Shrubland,399574
Past  Hardwood-Conifer,Agricultural,8761
Past  Hardwood-Conifer,Conifer,2520435
Past  Hardwood-Conifer,Conifer-Hardwood,98611
Past  Hardwood-Conifer,Developed,33947
Past  Hardwood-Conifer,Exotics,27132
Past  Hardwood-Conifer,Grassland,214472
Past  Hardwood-Conifer,Hardwood,1429680
Past  Hardwood-Conifer,Riparian,32490
Past  Hardwood-Conifer,Shrubland,332444
Past  Riparian,Agricultural,186786
Past  Riparian,Conifer,660477
Past  Riparian,Conifer-Hardwood,8553
Past  Riparian,Developed,69070
Past  Riparian,Exotics,23005
Past  Riparian,Grassland,89401
Past  Riparian,Hardwood,115112
Past  Riparian,Riparian,489181
Past  Riparian,Shrubland,155057
Past  Shrubland,Agricultural,279636
Past  Shrubland,Conifer,1135696
Past  Shrubland,Conifer-Hardwood,811
Past  Shrubland,Developed,130035
Past  Shrubland,Exotics,240381
Past  Shrubland,Grassland,1073043
Past  Shrubland,Hardwood,273601
Past  Shrubland,Riparian,130193
Past  Shrubland,Shrubland,3369096
